               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02627,            0.010818,           0.0020251,             0.99057,             0.99848,               0.995,             0.78099,              0.0167,           0.0042517,          0.00076504,             0.00307,             0.00307,             0.00307
                  37,            0.023848,            0.011606,           0.0018677,             0.99131,             0.99904,               0.995,             0.82119,            0.017359,           0.0043037,          0.00072497,            0.002872,            0.002872,            0.002872
                  38,            0.024498,            0.010675,            0.002283,             0.99172,             0.99887,               0.995,             0.77514,            0.018233,           0.0042846,          0.00068852,            0.002674,            0.002674,            0.002674
                  39,              0.0257,              0.0104,           0.0016157,             0.99219,             0.99903,               0.995,             0.79955,            0.017345,           0.0041699,          0.00065811,            0.002476,            0.002476,            0.002476
                  40,            0.023225,            0.011229,           0.0020043,              0.9917,             0.99894,               0.995,             0.80563,            0.017336,           0.0041544,          0.00059306,            0.002278,            0.002278,            0.002278
                  41,            0.023826,            0.010915,           0.0018316,             0.99126,             0.99908,               0.995,              0.8231,            0.018195,           0.0040535,          0.00055726,             0.00208,             0.00208,             0.00208
                  42,            0.022605,             0.01059,           0.0022316,             0.99086,               0.999,               0.995,             0.82054,            0.019543,            0.003943,          0.00053544,            0.001882,            0.001882,            0.001882
                  43,            0.022429,            0.010026,           0.0012482,             0.99128,             0.99905,               0.995,              0.8195,            0.015702,           0.0039653,          0.00051567,            0.001684,            0.001684,            0.001684
                  44,            0.021824,           0.0099233,           0.0022172,             0.99172,             0.99909,               0.995,             0.81223,            0.014939,           0.0038044,           0.0005011,            0.001486,            0.001486,            0.001486
                  45,            0.020399,            0.010692,            0.001733,              0.9922,             0.99848,               0.995,             0.82649,            0.014288,           0.0038412,          0.00048196,            0.001288,            0.001288,            0.001288
                  46,            0.020046,            0.009745,           0.0013762,             0.99195,             0.99862,               0.995,             0.82733,            0.014262,           0.0038169,          0.00047606,             0.00109,             0.00109,             0.00109
                  47,            0.019744,           0.0087918,           0.0010614,             0.99177,             0.99868,               0.995,              0.8226,            0.016269,            0.003736,          0.00046388,            0.000892,            0.000892,            0.000892
                  48,            0.020795,            0.009721,           0.0014979,              0.9913,             0.99893,               0.995,             0.83618,             0.01559,           0.0036775,          0.00045368,            0.000694,            0.000694,            0.000694
                  49,            0.019894,           0.0095436,           0.0012411,             0.99149,             0.99868,               0.995,              0.8357,            0.014896,            0.003703,          0.00043455,            0.000496,            0.000496,            0.000496
